,Price,Locate,Address,Beds,,,,,,
1906,R6 500,Kenilworth,,0.5,,,,,,
1933,R6 500,Green Point,,1,,,,,,
2124,R6 500,Green Point,,1,,,,,,
2168,R6 500,Green Point,,1,,,,,,
2223,R6 500,Kenilworth,,0.5,,,,,,
2265,R6 500,Wynberg,201 Main Road,,,,,,,
2270,R6 500,Rondebosch,,0.5,,,,,,
2332,R6 500,Observatory,,1,,,,,,
2346,R6 500,Rosebank,,1,,,,,,
2438,R6 500,Plumstead,,1,,,,,,
2450,R6 500,Plumstead,,1,,,,,,
2482,R6 500,Green Point,,1,,,,,,
2483,R6 500,Green Point,,1,,,,,,
2561,R6 500,Zonnebloem,,1,,,,,,
2565,R6 500,Kenilworth,,0.5,,,,,,
2685,R6 500,Oranjezicht,38 Mill Street,1,,,,,,
2686,R6 500,Oranjezicht,38 Mill Street,1,,,,,,
2694,R6 500,Cape Town City Centre,64 Keerom Street,0.5,,,,,,
2825,R6 500,Wynberg Upper,,1,,,,,,
2864,R6 500,Green Point,153 Main Road,27,,,,,,
2888,R6 500,Kenilworth,,0.5,,,,,,
2903,R6 500,Crawford,55 Ramphal Singh,2,,,,,,
3199,R6 500,Oranjezicht,,1,,,,,,
3245,R6 500,Observatory,1 Howe Street,1,,,,,,
3264,R6 500,Crawford,,2,,,,,,
3324,R6 500,Kenilworth Upper,,1,,,,,,
3381,R6 500,Rondebosch,10 Chester Rd,1,,,,,,
3459,R6 500,Tokai,,1,,,,,,
3477,R6 500,Mouille Point,,1,,,,,,
3482,R6 500,Muizenberg,,2,,,,,,
3484,R6 500,Grassy Park,5th Avenue,2,,,,,,
3545,R6 500,Sea Point,,,,,,,,
3588,R6 500,Camps Bay,1 The Cheviots Rd,1,,,,,,
3643,R6 500,Cape Town City Centre,,1,,,,,,
3700,R6 500,Cape Town City Centre,,,,,,,,
3815,R6 500,Wynberg,12 Bower Road,1,,,,,,
3935,R6 500,Wynberg Upper,,1,,,,,,
4023,R6 500,Mowbray,,1,,,,,,
4104,R6 500,Claremont,"Milner Gardens, 174 Milner Road",1,,,,,,
4128,R6 500,Oranjezicht,,,,,,,,
4203,R6 500,Cape Town City Centre,13 On Hope Hope Street,1,,,,,,
4210,R6 500,Claremont,,1,,,,,,
4254,R6 500,Sea Point,,0.5,,,,,,
4290,R6 500,Ferness Estate,"The Palms, Plantation Road",2,,,,,,
4302,R6 500,Cape Town City Centre,106 Adderley Street,1,,,,,,
4555,R6 500,Pinelands,,1,,,,,,
4559,R6 500,Pinelands,,1,,,,,,
4637,R6 500,Oranjezicht,"16 Flower Street,oranjezicht",0.5,,,,,,
4887,R6 500,Claremont Upper,,1,,,,,,
4924,R6 500,Claremont Upper,,1,,,,,,
4997,R6 500,Cape Town City Centre,,1,,,,,,
5010,R6 500,Cape Town City Centre,,1,,,,,,
5124,R6 500,Claremont Upper,,,,,,,,
5129,R6 500,Claremont Upper,,,,,,,,
1213,R6 575,Claremont,20 Brooke Street,2,,,,,,
2781,R6 600,De Waterkant,,1,,,,,,
2873,R6 600,Kenilworth,,1,,,,,,
3236,R6 600,Diep River,"301 Sandhurst, 13 Annandale Road",1,,,,,,
4136,R6 600,Cape Town City Centre,,2,,,,,,
4632,R6 600,Claremont,,1,,,,,,
2979,R6 650,Wynberg,,1,,,,,,
2992,R6 650,Wynberg,,1,,,,,,
3877,R6 650,Three Anchor Bay,207 Main Road,1,,,,,,
3077,R6 665,Sea Point,11 Marais Road,,,,,,,
65,R6 700,Green Point,9a Antrim Road,1,,,,,,
1023,R6 700,Green Point,9 Antrim Road,1,,,,,,
1570,R6 700,Cape Town City Centre,12 Jetty Street,0.5,,,,,,
1669,R6 700,Cape Town City Centre,,1,,,,,,
1900,R6 700,Observatory,,1,,,,,,
2043,R6 700,Observatory,,1,,,,,,
2153,R6 700,Thornton,2 Thor Circle,2,,,,,,
3196,R6 700,Claremont,225 Bath Street Road,1,,,,,,
3424,R6 700,Cape Farms,,2,,,,,,
3887,R6 700,Claremont,5 Prince Charles Mansions 255 Main Road,1,,,,,,
5030,R6 720,Diep River,,1,,,,,,
5031,R6 720,Diep River,,1,,,,,,
548,R6 750,Plumstead,Sevenoaks Road,1,,,,,,
618,R6 750,Kenilworth,,1,,,,,,
2375,R6 750,Green Point,40 High Level Road,1,,,,,,
2534,R6 750,Wynberg Upper,29 Bayview Road,1,,,,,,
2537,R6 750,Wynberg Upper,29 Bayview Road,1,,,,,,
3122,R6 750,Rondebosch,,1,,,,,,
3136,R6 750,Maitland,"115 Mountain View Villas, 21 Royal Road",2,,,,,,
3334,R6 750,Wynberg,,1,,,,,,
12,R6 800,Thornton,"4 Forest Drive, Forest Mews, Thornton",2,,,,,,
76,R6 800,Woodstock,187 Sir Lowry Rd,1,,,,,,
270,R6 800,Cape Town City Centre,70 Queen Victoria Street,,,,,,,
317,R6 800,Thornton,5 Rooikrans Road,2,,,,,,
657,R6 800,Rondebosch,8 Devonshire Hill Rd,1,,,,,,
867,R6 800,Athlone,436 Klipfontein Drive,2,,,,,,
1133,R6 800,Diep River,15 Annandale Road,1,,,,,,
1149,R6 800,Diep River,15 Annandale Road,1,,,,,,
1223,R6 800,Grassy Park,162 Klip Road,2,,,,,,
1380,R6 800,Observatory,"Waverley Business Park, 5 Wyecroft Rd",1,,,,,,
1389,R6 800,Plumstead,Exeter Road,1,,,,,,
